Customer_ID,Customer_Name,Gender,Age,Income_Annual,Occupation,City,State,Customer_Segment,Join_Date,Branch_ID
C00001,Customer 00001,Female,38,67800.0,Business,Bengaluru,Karnataka,Regular,2024-06-30,B013
C00002,Customer 00002,Male,54,56300.0,Salaried,Mumbai,Maharashtra,Regular,2024-11-11,B027
C00003,Customer 00003,Female,51,49500.0,Student,Kanpur,Uttar Pradesh,Regular,2025-09-05,B015
C00004,Customer 00004,Female,46,44700.0,Salaried,Kanpur,Uttar Pradesh,Standard,2023-08-13,B021
C00005,Customer 00005,Female,48,35400.0,Professional,Hyderabad,Telangana,Standard,2021-03-10,B039
C00006,Customer 00006,Male,38,35000.0,Salaried,New Delhi,Delhi,Standard,2023-09-28,B002
C00007,Customer 00007,Male,48,104000.0,Self-Employed,Delhi,Delhi,Mass Affluent,2025-06-23,B010
C00008,Customer 00008,Female,36,43100.0,Retired,Kolkata,West Bengal,Standard,2021-07-03,B018
C00009,Customer 00009,Male,20,177700.0,Business,Lucknow,Uttar Pradesh,Premium,2025-07-26,B051
C00010,Customer 00010,Male,58,79500.0,Salaried,Noida,Uttar Pradesh,Regular,2025-03-13,B037
C00011,Customer 00011,Female,36,15000.0,Self-Employed,Jaipur,Rajasthan,Standard,2023-11-15,B056
C00012,Customer 00012,Female,50,89400.0,Business,Hyderabad,Telangana,Mass Affluent,2025-01-20,B048
C00013,Customer 00013,Female,34,53400.0,Self-Employed,Nashik,Maharashtra,Regular,2024-08-19,B009
C00014,Customer 00014,Female,18,25600.0,Student,Nagpur,Maharashtra,Standard,2022-09-22,B012
C00015,Customer 00015,Male,37,112700.0,Student,Noida,Uttar Pradesh,Mass Affluent,2021-06-18,B056
C00016,Customer 00016,Female,18,43300.0,Salaried,Hyderabad,Telangana,Standard,2022-05-15,B018
C00017,Customer 00017,Female,46,41300.0,Professional,Mumbai,Maharashtra,Standard,2023-10-26,B053
C00018,Customer 00018,Female,35,67600.0,Retired,Mumbai,Maharashtra,Regular,2021-06-16,B045
C00019,Customer 00019,Female,51,103100.0,Salaried,Kolkata,West Bengal,Mass Affluent,2024-02-22,B003
C00020,Customer 00020,Other,41,58500.0,Salaried,Nagpur,Maharashtra,Regular,2023-04-18,B020
C00021,Customer 00021,Female,27,56300.0,Salaried,Mumbai,Maharashtra,Regular,2021-11-24,B035
C00022,Customer 00022,Male,45,37500.0,Salaried,Chennai,Tamil Nadu,Standard,2022-06-23,B030
C00023,Customer 00023,Female,21,102200.0,Retired,Durgapur,West Bengal,Mass Affluent,2024-02-06,B003
C00024,Customer 00024,Male,35,58900.0,Salaried,Hyderabad,Telangana,Regular,2022-04-28,B015
C00025,Customer 00025,Male,18,48600.0,Salaried,Mangaluru,Karnataka,Regular,2024-12-02,B018
