Account_ID,Customer_ID,Account_Type,Open_Date,Balance,Status,Branch_ID
A000001,C13425,Savings,2022-04-21,15494.73,Active,B041
A000002,C08018,Savings,2025-08-28,15086.54,Dormant,B029
A000003,C01808,Current,2023-02-13,4150.48,Active,B052
A000004,C12675,Fixed Deposit,2023-12-13,18996.69,Dormant,B037
A000005,C08140,Recurring Deposit,2022-12-04,14967.62,Dormant,B025
A000006,C07384,Savings,2025-01-01,6558.38,Active,B034
A000007,C02490,Savings,2025-10-23,3731.36,Active,B058
A000008,C01175,Savings,2023-11-26,30028.15,Active,B032
A000009,C08696,Savings,2024-02-10,10983.7,Active,B021
A000010,C07457,Fixed Deposit,2022-10-08,8892.04,Active,B023
A000011,C05700,Savings,2024-11-21,12028.97,Closed,B042
A000012,C07438,Recurring Deposit,2022-10-12,3067.83,Active,B044
A000013,C02726,Fixed Deposit,2025-03-15,54918.66,Active,B018
A000014,C09161,Savings,2023-06-24,3102.4,Active,B018
A000015,C05986,Savings,2025-06-04,17830.51,Active,B030
A000016,C05358,Savings,2022-10-02,61615.41,Active,B024
A000017,C00616,Current,2022-04-25,36073.49,Active,B056
A000018,C07093,Fixed Deposit,2022-11-19,26323.71,Active,B031
A000019,C14141,Savings,2022-03-30,7455.04,Active,B010
A000020,C13473,Fixed Deposit,2025-01-30,29353.01,Active,B001
A000021,C11859,Savings,2022-02-06,21495.97,Active,B008
A000022,C01381,Recurring Deposit,2023-08-21,59207.44,Active,B021
A000023,C01219,Fixed Deposit,2023-09-17,30957.09,Active,B018
A000024,C10808,Current,2023-03-19,55108.89,Dormant,B049
A000025,C11965,Fixed Deposit,2025-11-09,29142.94,Active,B041
A000026,C05670,Savings,2023-10-21,10447.94,Active,B039
A000027,C11803,Savings,2023-05-03,46012.67,Active,B035
A000028,C03825,Fixed Deposit,2023-04-22,38292.06,Dormant,B058
A000029,C08744,Current,2023-08-09,4914.49,Active,B028
A000030,C05894,Current,2024-09-17,38835.35,Dormant,B029
A000031,C12000,Savings,2025-04-11,18499.27,Active,B036
A000032,C10032,Savings,2024-10-26,17299.37,Active,B047
A000033,C02834,Recurring Deposit,2023-03-25,57440.61,Active,B012
A000034,C13984,Fixed Deposit,2023-02-06,54299.15,Active,B029
A000035,C04052,Savings,2025-10-10,49694.59,Active,B016
A000036,C00292,Current,2024-05-28,16206.55,Active,B024
A000037,C07503,Fixed Deposit,2025-12-31,20473.27,Closed,B023
A000038,C13463,Fixed Deposit,2025-06-06,40398.29,Active,B035
A000039,C07155,Fixed Deposit,2023-01-02,31760.09,Active,B052
A000040,C01038,Savings,2023-02-14,31906.55,Active,B004
A000041,C10286,Fixed Deposit,2023-04-02,7552.41,Active,B010
A000042,C12931,Fixed Deposit,2022-10-13,75569.1,Active,B028
A000043,C14599,Savings,2023-01-27,5522.7,Active,B008
A000044,C02833,Savings,2025-02-07,11499.29,Active,B039
A000045,C12740,Fixed Deposit,2022-07-17,16424.12,Dormant,B051
A000046,C01338,Fixed Deposit,2022-04-04,13115.02,Active,B017
A000047,C09069,Savings,2025-03-26,7202.53,Active,B015
A000048,C05298,Fixed Deposit,2025-10-04,83967.46,Closed,B019
A000049,C14947,Fixed Deposit,2024-09-22,49109.58,Active,B049
A000050,C09542,Savings,2025-10-21,26711.0,Active,B024
A000051,C12768,Savings,2023-08-01,2525.68,Active,B010
A000052,C01763,Savings,2023-01-13,50526.53,Active,B025
A000053,C03118,Recurring Deposit,2023-06-06,16469.5,Active,B006
A000054,C01211,Savings,2025-01-24,12436.01,Active,B038
A000055,C12054,Savings,2025-02-06,42830.48,Active,B038
A000056,C08136,Savings,2023-01-31,23511.24,Closed,B045
A000057,C06619,Savings,2023-12-02,8131.54,Active,B053
A000058,C05020,Savings,2024-07-01,5078.32,Active,B052
A000059,C00130,Fixed Deposit,2022-03-15,59920.96,Active,B058
A000060,C08891,Savings,2025-03-22,11632.89,Dormant,B054
A000061,C03638,Fixed Deposit,2024-10-13,10737.12,Active,B056
