Card_ID,Customer_ID,Card_Type,Credit_Limit,Outstanding_Amount,Annual_Fee,Status,Issue_Date
CC000001,C01319,Classic,114700.0,61015.28,1999,Closed,2023-07-21
CC000002,C05196,Classic,174500.0,66682.72,0,Active,2022-01-11
CC000003,C00801,Gold,72500.0,33826.39,0,Active,2025-01-10
CC000004,C07873,Classic,128700.0,67490.01,1999,Active,2022-05-16
CC000005,C11199,Classic,150100.0,76568.5,999,Active,2025-12-11
CC000006,C12262,Signature,79600.0,23118.88,999,Active,2023-05-05
CC000007,C06446,Classic,243400.0,64091.75,1999,Active,2022-12-24
CC000008,C08331,Classic,41900.0,2749.05,999,Active,2022-07-26
CC000009,C03267,Gold,82400.0,34099.17,0,Active,2024-06-19
CC000010,C12410,Platinum,61100.0,23792.04,1999,Active,2022-02-03
CC000011,C03427,Gold,22100.0,3331.36,499,Active,2022-04-27
CC000012,C03630,Gold,27000.0,2696.47,0,Active,2025-02-03
CC000013,C06153,Platinum,73400.0,22011.59,999,Blocked,2025-11-29
CC000014,C00591,Classic,20000.0,5616.03,0,Active,2025-06-02
CC000015,C05526,Platinum,21600.0,13653.66,0,Active,2025-11-25
CC000016,C14060,Platinum,22600.0,3695.76,499,Closed,2025-07-07
CC000017,C04311,Gold,39400.0,18739.41,999,Active,2022-12-07
CC000018,C07125,Platinum,49000.0,16444.73,999,Active,2024-06-11
CC000019,C04491,Platinum,55300.0,3684.41,1999,Active,2023-02-04
CC000020,C14993,Platinum,54300.0,13475.6,0,Active,2025-07-28
CC000021,C13357,Gold,20000.0,9885.39,2999,Active,2024-04-27
CC000022,C00939,Classic,20000.0,3144.49,499,Active,2024-07-29
CC000023,C12160,Gold,101000.0,13151.39,499,Active,2024-10-30
CC000024,C04128,Classic,42700.0,11155.5,0,Active,2025-08-16
CC000025,C14704,Classic,82000.0,13467.24,1999,Active,2024-02-23
CC000026,C07524,Platinum,58000.0,13913.69,0,Blocked,2025-06-19
CC000027,C02895,Gold,60300.0,10705.08,999,Active,2023-10-21
CC000028,C10201,Gold,61300.0,13409.32,499,Active,2024-02-25
CC000029,C13861,Gold,37400.0,2513.13,1999,Active,2024-06-17
CC000030,C11087,Platinum,62500.0,31873.25,1999,Active,2023-11-14
CC000031,C00642,Platinum,115100.0,21037.32,499,Active,2025-03-12
CC000032,C10677,Classic,20000.0,2301.27,999,Active,2022-02-05
CC000033,C14548,Platinum,29200.0,10866.22,0,Active,2022-11-01
CC000034,C10104,Classic,33800.0,26261.82,0,Active,2024-06-16
CC000035,C00668,Classic,84800.0,21946.17,0,Active,2025-09-12
CC000036,C12383,Platinum,20000.0,2535.86,999,Active,2025-07-13
CC000037,C04772,Gold,41200.0,8042.09,999,Active,2023-04-06
CC000038,C00176,Gold,30000.0,10802.04,0,Active,2022-03-11
CC000039,C12659,Platinum,70000.0,14994.33,0,Active,2023-05-16
CC000040,C06512,Signature,54800.0,9052.66,1999,Active,2023-03-28
CC000041,C09605,Platinum,24400.0,8481.4,999,Active,2022-11-20
CC000042,C12764,Platinum,127900.0,32590.3,999,Active,2025-01-28
CC000043,C09301,Classic,20000.0,615.74,0,Active,2022-04-14
CC000044,C01335,Platinum,20000.0,4736.95,499,Active,2025-12-31
CC000045,C03280,Gold,45700.0,23146.48,0,Active,2025-10-27
CC000046,C09332,Classic,32100.0,8470.76,0,Active,2025-10-11
CC000047,C02230,Classic,23700.0,7158.54,499,Active,2023-11-09
CC000048,C04887,Gold,125900.0,26378.83,0,Active,2025-12-03
CC000049,C02449,Classic,85700.0,11401.81,999,Active,2024-11-18
CC000050,C02537,Classic,53900.0,18398.5,999,Active,2024-08-31
CC000051,C14605,Gold,20000.0,1321.93,2999,Active,2025-10-11
CC000052,C07679,Platinum,36300.0,15861.46,0,Active,2023-03-23
CC000053,C04284,Classic,42800.0,5384.83,999,Active,2025-04-03
CC000054,C03115,Signature,145000.0,76793.09,0,Active,2024-01-20
CC000055,C04394,Platinum,77300.0,14432.19,499,Active,2022-10-21
CC000056,C13881,Classic,87300.0,13381.73,999,Active,2024-02-17
CC000057,C02678,Gold,129500.0,28821.97,0,Active,2025-10-02
CC000058,C02385,Platinum,50800.0,7162.1,999,Closed,2025-01-01
CC000059,C07166,Platinum,85600.0,10908.21,0,Active,2022-08-06
CC000060,C10474,Signature,20000.0,3160.32,0,Closed,2024-01-20
CC000061,C05731,Platinum,54300.0,12610.47,0,Active,2023-12-15
CC000062,C05601,Gold,38800.0,2952.81,0,Active,2023-01-10
CC000063,C09916,Signature,48400.0,12879.93,499,Active,2022-06-10
CC000064,C03353,Gold,58700.0,30722.8,0,Active,2024-12-14
CC000065,C08858,Classic,92400.0,31506.79,0,Active,2025-07-01
CC000066,C14829,Classic,54500.0,6425.11,0,Active,2023-08-28
CC000067,C02764,Platinum,208200.0,43586.21,0,Active,2022-09-30
CC000068,C03681,Classic,127800.0,22251.56,499,Active,2024-11-14
CC000069,C13529,Gold,54000.0,18033.18,1999,Active,2024-11-25
