Activity_ID,Customer_ID,Date,Login_Count,App_Usage_Minutes,Service_Calls,Product_Interactions,Is_Active
ACT0000001,C01162,2025-09-12,5,18.0,0,2,True
ACT0000002,C14772,2024-03-13,3,48.0,1,1,False
ACT0000003,C11428,2025-09-16,3,12.9,0,2,True
ACT0000004,C01816,2024-06-17,1,50.0,1,1,True
ACT0000005,C08880,2024-06-02,5,35.6,0,0,True
ACT0000006,C00302,2023-04-30,7,3.1,0,0,True
ACT0000007,C04186,2024-06-09,6,18.5,1,2,True
ACT0000008,C11685,2023-07-25,4,29.7,0,1,True
ACT0000009,C12586,2025-10-22,0,14.4,0,2,True
ACT0000010,C03640,2025-03-01,3,29.6,0,5,True
ACT0000011,C10929,2024-04-17,3,19.9,0,1,True
ACT0000012,C09767,2023-11-26,5,21.2,0,0,True
ACT0000013,C01564,2025-11-24,3,25.6,0,2,True
ACT0000014,C02213,2023-06-25,3,37.1,0,1,True
ACT0000015,C07514,2024-02-17,3,25.5,0,1,True
ACT0000016,C13239,2024-09-12,7,48.0,0,4,True
ACT0000017,C01123,2024-01-26,8,2.4,1,0,True
ACT0000018,C09936,2023-10-24,1,36.5,0,2,True
ACT0000019,C13789,2024-12-18,2,12.0,0,3,False
ACT0000020,C02509,2023-01-25,2,31.5,0,2,True
ACT0000021,C09654,2023-01-12,3,7.8,0,2,True
ACT0000022,C09685,2023-05-23,6,26.4,0,1,True
ACT0000023,C13912,2023-12-08,1,10.7,0,0,True
ACT0000024,C03511,2023-06-13,2,41.7,0,1,True
ACT0000025,C05790,2024-07-11,5,22.8,0,2,True
ACT0000026,C14208,2025-02-16,4,24.4,0,0,True
ACT0000027,C02045,2023-06-12,6,8.2,2,1,True
ACT0000028,C12747,2025-11-23,2,7.1,0,0,True
ACT0000029,C07103,2025-09-17,4,11.9,1,2,True
ACT0000030,C06291,2024-02-10,6,51.7,0,3,True
ACT0000031,C07953,2024-02-15,3,60.5,3,2,True
ACT0000032,C06925,2024-06-15,3,71.5,0,3,False
ACT0000033,C09517,2024-11-27,0,47.5,0,2,True
ACT0000034,C08294,2023-04-05,3,14.6,2,0,True
ACT0000035,C05409,2024-12-29,1,17.4,1,0,True
ACT0000036,C06152,2025-09-20,7,10.8,1,3,True
ACT0000037,C12183,2023-10-03,4,45.5,0,3,True
ACT0000038,C08603,2023-09-15,3,56.0,0,2,True
ACT0000039,C01499,2024-09-10,3,24.7,0,1,True
ACT0000040,C12666,2024-12-18,2,38.0,0,2,True
ACT0000041,C02514,2025-01-19,1,39.8,0,1,True
ACT0000042,C13264,2025-05-18,4,23.9,0,0,True
ACT0000043,C09339,2025-11-14,2,34.1,0,1,False
ACT0000044,C13299,2025-02-25,1,25.3,0,3,True
ACT0000045,C12513,2023-03-28,7,29.5,0,4,False
ACT0000046,C11695,2025-03-09,2,29.5,0,1,False
ACT0000047,C10605,2025-08-22,5,26.1,0,0,True
ACT0000048,C09310,2025-12-28,2,13.1,0,3,True
ACT0000049,C07389,2025-08-12,6,12.3,0,4,True
ACT0000050,C04322,2023-12-23,3,8.7,0,0,True
ACT0000051,C07314,2025-07-10,3,41.9,0,4,True
ACT0000052,C01178,2025-09-11,4,86.9,3,1,True
ACT0000053,C12694,2025-03-08,2,62.8,0,2,True
ACT0000054,C00707,2024-09-19,2,36.9,1,3,False
