Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Start_Date,Tenure_Months,Outstanding_Amount,Status,Credit_Risk
L000001,C05405,Business,75200.0,10.47,2025-05-10,180,46513.07,Active,Low
L000002,C00619,Home,159100.0,13.75,2022-08-10,24,30169.27,Closed,High
L000003,C11091,Auto,50000.0,11.22,2025-12-19,24,5660.94,Overdue,Medium
L000004,C06848,Auto,98600.0,9.22,2025-04-27,12,11610.54,Active,Low
L000005,C04836,Auto,354900.0,9.34,2022-08-17,60,120883.13,Closed,Low
L000006,C07301,Home,559900.0,15.06,2024-02-12,240,31174.39,Closed,Medium
L000007,C07601,Personal,274500.0,9.16,2024-12-24,36,230900.12,Closed,Low
L000008,C11162,Personal,198300.0,7.33,2023-12-02,36,133682.49,Active,Medium
L000009,C03795,Auto,196800.0,9.26,2024-10-09,24,94256.24,Closed,Low
L000010,C10515,Auto,139900.0,11.51,2024-02-22,36,110801.75,Overdue,Low
L000011,C13829,Education,101500.0,9.87,2025-09-17,240,71762.0,Active,High
L000012,C05941,Home,136300.0,11.3,2023-06-25,84,16915.33,Active,Low
L000013,C11587,Home,101000.0,11.1,2023-02-02,120,75252.35,Active,Low
L000014,C13527,Auto,180000.0,13.28,2022-03-29,60,144117.08,Active,Low
L000015,C14764,Home,138200.0,15.79,2025-05-19,48,33500.8,Closed,Low
L000016,C04052,Personal,104100.0,12.11,2022-11-08,24,45888.6,Active,Medium
L000017,C09539,Personal,117000.0,12.39,2025-11-12,120,96270.01,Active,Low
L000018,C12012,Home,420500.0,10.34,2022-04-09,12,76696.07,Active,Low
L000019,C04855,Education,80300.0,14.48,2022-07-01,12,69919.4,Closed,Medium
L000020,C10465,Personal,200900.0,13.04,2025-03-19,24,40184.86,Closed,Medium
L000021,C10153,Personal,476100.0,13.14,2022-09-12,240,98028.24,Active,Low
L000022,C07579,Personal,223100.0,11.4,2025-01-21,24,120938.97,Closed,Medium
L000023,C11946,Personal,370700.0,15.41,2023-04-23,240,105589.56,Active,Medium
L000024,C09189,Personal,339000.0,10.43,2022-05-20,48,97425.55,Active,Medium
L000025,C07864,Auto,95600.0,10.85,2023-09-01,60,9775.46,Closed,Low
L000026,C08394,Auto,113200.0,10.2,2022-07-11,240,74732.24,Active,Low
L000027,C06991,Personal,202100.0,9.32,2023-08-13,48,62473.14,Active,Low
L000028,C08483,Personal,140400.0,14.81,2022-11-08,84,125288.39,Active,Medium
L000029,C07710,Business,50000.0,7.34,2023-04-11,48,16111.27,Closed,Low
L000030,C07240,Auto,330800.0,9.7,2024-01-05,36,169555.15,Active,Low
L000031,C02300,Personal,490300.0,8.49,2022-04-21,120,139104.01,Active,Low
L000032,C12087,Home,50000.0,13.7,2023-11-15,60,11394.95,Overdue,Medium
L000033,C12983,Personal,86900.0,15.75,2025-02-18,84,42572.04,Active,Medium
L000034,C02315,Home,75400.0,14.36,2023-01-23,240,14031.63,Active,Low
L000035,C10864,Education,225200.0,13.75,2025-02-24,60,76276.46,Active,Medium
L000036,C10903,Auto,152000.0,9.91,2024-04-25,48,125175.86,Active,Low
L000037,C09401,Home,80000.0,8.75,2025-05-19,240,44717.32,Closed,Low
L000038,C10113,Business,99200.0,9.71,2025-03-29,48,43360.24,Active,Low
L000039,C00230,Home,325400.0,13.25,2023-12-21,60,220574.74,Active,Low
L000040,C07750,Business,50000.0,10.59,2024-11-19,120,35123.84,Active,Medium
L000041,C14598,Home,134600.0,9.4,2025-09-12,12,18933.13,Active,Medium
L000042,C06461,Personal,362000.0,14.22,2022-01-07,48,137477.14,Active,Low
L000043,C02536,Home,319900.0,10.77,2022-08-14,48,143595.6,Active,Low
L000044,C09321,Personal,255800.0,13.85,2024-01-23,12,69951.39,Active,Low
L000045,C13829,Business,130000.0,13.38,2024-12-05,24,72897.0,Overdue,Low
L000046,C05570,Home,182000.0,11.58,2022-09-30,60,82265.61,Active,Low
L000047,C00395,Home,178000.0,15.79,2022-06-30,84,102398.11,Active,Medium
L000048,C07100,Home,253200.0,12.83,2022-10-31,12,81516.45,Active,Low
L000049,C06875,Business,675100.0,15.04,2025-10-24,36,497620.06,Active,Low
L000050,C14566,Education,296600.0,16.29,2025-06-10,24,26849.01,Active,High
L000051,C13303,Home,439800.0,9.09,2023-04-21,180,122863.56,Active,Medium
L000052,C01357,Home,498200.0,12.43,2025-07-11,120,54132.49,Overdue,High
L000053,C12522,Personal,223600.0,15.82,2023-10-27,120,177498.93,Overdue,Low
L000054,C02067,Business,50000.0,9.24,2025-01-27,36,12856.38,Closed,Low
L000055,C05481,Personal,136100.0,15.84,2024-07-07,36,10038.53,Active,Low
L000056,C04129,Auto,424800.0,10.95,2022-04-14,60,109653.0,Closed,Low
L000057,C07360,Home,157600.0,10.88,2025-10-16,36,148309.4,Overdue,Low
L000058,C00055,Personal,331900.0,14.67,2023-12-14,48,81984.1,Active,Medium
L000059,C10876,Auto,367200.0,8.52,2023-09-15,180,210789.87,Closed,Low
L000060,C09286,Business,50000.0,9.98,2022-09-16,36,9437.98,Active,Low
L000061,C12090,Personal,538100.0,14.35,2023-05-19,36,99866.82,Active,Low
L000062,C11299,Auto,52600.0,16.1,2025-04-03,60,24878.05,Active,Low
L000063,C06224,Home,138900.0,8.48,2025-02-08,60,120340.24,Active,Medium
L000064,C13102,Auto,173500.0,10.65,2023-12-14,36,150733.11,Closed,Medium
L000065,C06086,Home,494300.0,8.56,2022-02-07,36,26169.34,Closed,High
L000066,C13371,Personal,347000.0,15.07,2023-06-14,180,298465.36,Active,Medium
L000067,C09526,Education,84400.0,14.58,2023-08-24,48,26240.38,Overdue,Medium
L000068,C01657,Auto,74100.0,9.82,2025-04-10,12,23133.43,Active,Low
L000069,C06604,Education,468400.0,15.4,2023-05-21,120,381152.49,Active,High
L000070,C03707,Business,50000.0,12.68,2022-12-03,84,7299.91,Active,Medium
L000071,C07163,Home,714000.0,9.92,2022-03-10,48,70767.83,Active,Medium
L000072,C01259,Home,349000.0,10.81,2025-11-20,120,186140.45,Active,Low
L000073,C13196,Home,87900.0,14.69,2025-03-07,180,39782.07,Active,Low
L000074,C12663,Auto,135500.0,11.55,2022-12-21,36,36757.66,Closed,Medium
L000075,C00823,Personal,116300.0,15.24,2024-07-14,12,98352.99,Active,Medium
L000076,C00932,Auto,205000.0,8.66,2022-08-16,48,185008.2,Closed,High
L000077,C03893,Personal,425200.0,15.5,2022-05-03,12,392174.6,Active,Medium
L000078,C01508,Home,234700.0,16.22,2024-07-17,240,200368.54,Active,High
L000079,C12939,Business,54900.0,10.28,2024-11-16,36,44191.77,Active,Low
L000080,C09715,Home,380500.0,7.99,2024-03-13,48,259458.97,Overdue,Low
