Transaction_ID,Date,Customer_ID,Account_ID,Branch_ID,Transaction_Type,Channel,Amount,Status,Location_Type,Is_Anomaly
T0000001,2025-08-18,C09852,A005130,B008,Credit,Online Banking,467.03,Success,Domestic,False
T0000002,2024-05-17,C14253,A003031,B002,Credit,ATM,4460.49,Success,International,False
T0000003,2025-09-05,C10248,A011450,B050,Debit,POS,1634.48,Success,Domestic,False
T0000004,2024-05-25,C07524,A011592,B051,Credit,POS,3465.96,Success,Domestic,False
T0000005,2023-06-26,C07978,A018822,B004,Debit,UPI,2403.14,Success,International,False
T0000006,2023-01-02,C00741,A006187,B010,Debit,UPI,3328.75,Success,Domestic,False
T0000007,2023-12-04,C02529,A004996,B048,Credit,NEFT,6656.55,Success,Domestic,False
T0000008,2025-08-22,C03250,A012452,B050,Debit,POS,1544.07,Success,Domestic,False
T0000009,2024-10-19,C09664,A014000,B001,Debit,POS,2553.7,Success,Domestic,False
T0000010,2023-01-07,C08241,A012361,B027,Credit,POS,5559.89,Success,Domestic,False
T0000011,2024-07-20,C07904,A020951,B017,Debit,POS,3100.82,Success,Domestic,False
T0000012,2025-08-30,C03497,A018319,B044,Debit,POS,942.96,Success,Domestic,False
T0000013,2025-06-10,C00654,A005007,B041,Debit,POS,9682.52,Success,Domestic,False
T0000014,2023-12-27,C01862,A008006,B024,Credit,POS,6342.59,Success,Domestic,False
T0000015,2024-06-13,C02029,A008895,B006,Credit,IMPS,1485.7,Success,Domestic,False
T0000016,2023-09-27,C08890,A001839,B051,Credit,UPI,5094.14,Reversed,Domestic,False
T0000017,2023-02-22,C03977,A012395,B029,Debit,POS,2550.86,Success,Domestic,False
T0000018,2025-09-13,C00478,A012010,B034,Debit,RTGS,4156.82,Success,Domestic,False
T0000019,2025-03-06,C11003,A014164,B054,Credit,POS,645.81,Success,Domestic,False
T0000020,2023-03-19,C12682,A019543,B028,Debit,NEFT,15000.71,Success,Domestic,False
T0000021,2025-04-28,C06561,A001653,B029,Credit,NEFT,6123.81,Success,Domestic,False
T0000022,2024-06-12,C10588,A006916,B059,Credit,IMPS,14831.08,Success,Domestic,False
T0000023,2024-07-15,C04297,A004554,B022,Debit,UPI,10874.11,Success,International,False
T0000024,2024-10-10,C01763,A016541,B021,Debit,POS,876.08,Success,Domestic,False
T0000025,2025-02-03,C11517,A001447,B059,Credit,UPI,2964.32,Failed,Domestic,False
T0000026,2024-12-28,C09872,A016029,B054,Credit,UPI,4845.08,Success,Domestic,False
T0000027,2024-04-02,C12868,A009294,B040,Credit,ATM,730.08,Success,Domestic,False
T0000028,2023-02-06,C10754,A015989,B043,Credit,POS,3818.03,Success,Domestic,False
T0000029,2023-12-26,C02354,A015526,B049,Credit,IMPS,5979.38,Success,Domestic,False
T0000030,2024-05-26,C11854,A019971,B001,Credit,ATM,3528.31,Success,Domestic,False
T0000031,2024-09-04,C03102,A018401,B054,Debit,ATM,1818.21,Success,Domestic,False
T0000032,2025-09-23,C10132,A007404,B047,Credit,UPI,4881.4,Success,Domestic,False
T0000033,2023-08-16,C11037,A005963,B031,Credit,POS,6270.56,Success,Domestic,False
T0000034,2025-12-28,C13948,A013001,B013,Credit,UPI,11558.42,Success,Domestic,False
T0000035,2024-09-22,C07999,A003098,B022,Debit,ATM,2301.95,Success,Domestic,False
T0000036,2023-08-30,C13802,A004601,B046,Debit,POS,4630.53,Success,Domestic,False
T0000037,2024-11-04,C04803,A002637,B058,Debit,Online Banking,6749.48,Success,Domestic,False
T0000038,2025-01-17,C10396,A005847,B024,Debit,UPI,811.48,Success,Domestic,False
T0000039,2023-07-15,C00674,A009131,B038,Debit,IMPS,6727.05,Success,Domestic,False
T0000040,2024-10-30,C05195,A017463,B019,Debit,IMPS,13686.98,Success,Domestic,False
T0000041,2025-07-21,C02132,A017549,B055,Debit,UPI,9565.17,Success,Domestic,False
T0000042,2024-02-10,C03793,A002308,B020,Debit,POS,23463.69,Success,International,False
T0000043,2025-04-12,C07433,A002949,B053,Debit,UPI,14841.21,Success,Domestic,False
T0000044,2023-02-22,C02584,A000854,B008,Debit,Online Banking,12619.88,Success,Domestic,False
T0000045,2025-12-06,C11144,A016101,B040,Credit,ATM,1998.03,Success,Domestic,False
T0000046,2024-05-04,C14909,A020291,B043,Credit,NEFT,4789.22,Success,Domestic,False
T0000047,2024-05-13,C08748,A021156,B029,Debit,UPI,1748.62,Success,Domestic,False
T0000048,2025-11-12,C13420,A014726,B032,Debit,ATM,3505.12,Success,Domestic,False
T0000049,2024-10-03,C05586,A009457,B053,Debit,POS,2688.83,Success,Domestic,False
T0000050,2023-09-11,C10815,A006022,B045,Debit,IMPS,1430.21,Success,International,False
T0000051,2025-01-17,C01741,A009015,B007,Credit,UPI,2955.15,Success,Domestic,False
T0000052,2025-08-08,C01342,A002173,B016,Credit,ATM,3360.57,Success,Domestic,False
T0000053,2024-09-27,C09103,A014245,B024,Credit,UPI,1794.95,Success,Domestic,False
T0000054,2025-04-13,C12690,A001713,B022,Credit,Online Banking,2654.42,Success,Domestic,False
T0000055,2025-09-30,C13695,A015226,B040,Debit,RTGS,2724.17,Success,Domestic,False
T0000056,2023-10-01,C06693,A015262,B055,Credit,IMPS,1317.81,Success,Domestic,False
T0000057,2025-01-08,C03841,A019711,B044,Debit,UPI,4051.98,Success,Domestic,False
T0000058,2025-10-15,C03568,A013964,B060,Credit,IMPS,1108.66,Success,Domestic,False
T0000059,2025-01-05,C02678,A000657,B053,Debit,NEFT,3040.0,Failed,Domestic,False
T0000060,2024-04-03,C12044,A002081,B005,Debit,UPI,9430.6,Success,Domestic,False
T0000061,2023-09-05,C07810,A006155,B048,Debit,POS,405.28,Success,Domestic,False
T0000062,2025-03-12,C01521,A020076,B059,Debit,ATM,1590.11,Success,Domestic,False
T0000063,2023-11-16,C12039,A011430,B054,Credit,IMPS,3325.25,Success,Domestic,False
T0000064,2024-10-28,C00319,A002952,B057,Credit,IMPS,1301.06,Success,Domestic,False
T0000065,2023-05-04,C10546,A004619,B045,Debit,IMPS,1734.8,Success,Domestic,False
T0000066,2023-08-05,C06628,A019968,B052,Credit,Online Banking,6637.65,Success,Domestic,False
T0000067,2025-10-29,C03418,A013236,B051,Debit,POS,3686.6,Success,Domestic,False
T0000068,2025-02-26,C09144,A011636,B004,Debit,NEFT,1246.22,Success,Domestic,False
T0000069,2025-04-25,C03922,A021839,B025,Debit,UPI,3281.27,Success,Domestic,False
T0000070,2025-11-13,C12098,A016060,B031,Debit,UPI,1841.34,Success,Domestic,False
T0000071,2023-03-03,C03586,A013027,B022,Credit,IMPS,6530.03,Success,Domestic,False
T0000072,2023-05-15,C05330,A008087,B019,Credit,ATM,1969.15,Success,Domestic,False
T0000073,2023-11-29,C01821,A014898,B048,Credit,Online Banking,37400.6,Success,Domestic,False
T0000074,2024-03-16,C13953,A019852,B030,Debit,Online Banking,1231.68,Success,Domestic,False
T0000075,2023-06-22,C09035,A008844,B014,Debit,ATM,21650.56,Success,Domestic,False
T0000076,2024-04-20,C09192,A013768,B029,Debit,NEFT,862.5,Success,International,False
T0000077,2024-07-31,C09816,A020627,B054,Credit,POS,26393.77,Success,Domestic,False
T0000078,2025-06-02,C12054,A002646,B047,Debit,UPI,1460.09,Success,Domestic,False
T0000079,2024-09-26,C13224,A021372,B038,Debit,ATM,1618.32,Success,Domestic,False
T0000080,2024-10-29,C04153,A015188,B042,Debit,POS,8798.13,Success,Domestic,False
T0000081,2024-01-14,C10800,A012169,B036,Credit,UPI,4703.46,Success,Domestic,False
T0000082,2023-02-20,C01864,A010565,B047,Debit,NEFT,5398.95,Success,Domestic,False
T0000083,2025-08-20,C11280,A004051,B027,Credit,UPI,21797.45,Success,Domestic,False
T0000084,2025-02-25,C11120,A000229,B014,Credit,ATM,220.29,Success,Domestic,False
T0000085,2023-03-06,C02777,A015460,B030,Debit,UPI,1735.67,Success,Domestic,False
T0000086,2024-12-23,C03138,A018775,B043,Debit,POS,623.02,Success,Domestic,False
T0000087,2024-08-04,C00148,A002734,B041,Credit,UPI,17330.93,Success,Domestic,False
T0000088,2025-01-09,C13493,A018107,B059,Debit,ATM,13170.87,Success,Domestic,False
T0000089,2023-03-06,C00075,A002706,B044,Credit,UPI,972.41,Success,Domestic,False
T0000090,2024-10-10,C06641,A012574,B021,Credit,POS,9275.58,Success,Domestic,False
T0000091,2023-04-20,C06934,A017334,B015,Debit,UPI,5795.41,Success,Domestic,False
T0000092,2025-08-16,C10819,A002378,B053,Credit,UPI,1634.26,Success,Domestic,False
T0000093,2025-01-18,C05121,A019877,B021,Credit,POS,1079.92,Success,Domestic,False
T0000094,2025-09-07,C13417,A011963,B043,Credit,IMPS,2069.33,Success,Domestic,False
T0000095,2024-09-01,C14077,A010553,B017,Credit,IMPS,387.3,Failed,Domestic,False
T0000096,2024-07-09,C03751,A000930,B037,Debit,UPI,1281.85,Success,Domestic,False
T0000097,2024-09-29,C01546,A013953,B045,Debit,POS,7828.72,Success,International,False
T0000098,2023-10-27,C06303,A015592,B035,Credit,ATM,13570.63,Success,Domestic,False
T0000099,2023-05-11,C10486,A019258,B048,Debit,ATM,437.81,Success,Domestic,False
T0000100,2023-07-14,C10557,A012505,B055,Debit,POS,2946.65,Success,Domestic,False
T0000101,2025-01-18,C01359,A006736,B047,Credit,POS,2236.68,Success,Domestic,False
T0000102,2024-05-16,C02309,A019432,B008,Debit,UPI,747.02,Success,Domestic,False
T0000103,2023-11-12,C02379,A003150,B052,Debit,POS,1898.83,Success,Domestic,False
T0000104,2024-06-28,C07388,A013289,B058,Debit,POS,1486.62,Success,Domestic,False
T0000105,2023-07-21,C00947,A017611,B017,Debit,POS,5644.35,Success,Domestic,False
T0000106,2024-10-20,C06771,A000914,B036,Credit,IMPS,1729.42,Success,Domestic,False
T0000107,2024-08-17,C05481,A011013,B053,Debit,POS,1534.9,Success,Domestic,False
T0000108,2025-03-05,C14407,A018531,B024,Debit,ATM,2077.74,Success,Domestic,False
T0000109,2024-07-05,C04163,A002991,B039,Debit,UPI,926.17,Success,Domestic,False
T0000110,2024-11-02,C14887,A020509,B044,Credit,POS,2747.51,Failed,Domestic,False
T0000111,2025-07-24,C08780,A007744,B009,Credit,Online Banking,10094.4,Success,Domestic,False
T0000112,2023-09-24,C01663,A012894,B031,Credit,RTGS,2585.36,Success,Domestic,False
T0000113,2025-07-27,C08589,A000949,B018,Credit,UPI,16573.0,Success,Domestic,False
T0000114,2025-12-21,C01372,A005063,B025,Debit,UPI,1549.55,Success,Domestic,False
T0000115,2025-01-10,C06340,A019187,B032,Debit,ATM,2715.92,Success,Domestic,False
T0000116,2025-10-28,C06602,A016713,B007,Debit,UPI,639.42,Success,Domestic,False
T0000117,2023-02-28,C02203,A016630,B003,Debit,IMPS,1552.93,Success,Domestic,False
T0000118,2024-11-25,C10373,A007143,B047,Credit,ATM,646.06,Success,Domestic,False
T0000119,2024-11-28,C05046,A012705,B052,Debit,UPI,1011.35,Success,Domestic,False
T0000120,2024-11-02,C09606,A019731,B012,Debit,IMPS,717.97,Success,Domestic,False
T0000121,2025-03-09,C07561,A016904,B038,Debit,POS,2051.43,Success,Domestic,False
T0000122,2024-09-09,C04934,A013695,B053,Debit,POS,1487.77,Success,Domestic,False
T0000123,2023-07-26,C09360,A008616,B003,Credit,POS,21816.3,Success,Domestic,False
T0000124,2023-06-17,C10867,A008124,B013,Credit,UPI,14491.3,Success,International,False
T0000125,2024-12-17,C01832,A001322,B015,Debit,UPI,1935.34,Success,Domestic,False
T0000126,2025-04-20,C07005,A005082,B027,Credit,Online Banking,2008.7,Success,Domestic,False
T0000127,2023-09-01,C05934,A008292,B035,Debit,POS,4221.84,Success,Domestic,False
T0000128,2025-01-02,C11117,A020571,B001,Debit,UPI,10470.13,Success,Domestic,False
T0000129,2025-04-09,C01309,A020143,B053,Credit,POS,1295.6,Success,Domestic,False
T0000130,2025-09-11,C11667,A020264,B041,Credit,Online Banking,912.44,Success,Domestic,False
T0000131,2024-08-02,C11589,A004110,B041,Credit,IMPS,1207.14,Success,Domestic,False
T0000132,2023-05-27,C01381,A020470,B026,Credit,UPI,1892.46,Success,Domestic,False
T0000133,2024-12-27,C07371,A003316,B036,Credit,IMPS,3836.54,Success,Domestic,False
T0000134,2023-05-12,C13542,A017648,B008,Debit,UPI,2746.31,Success,Domestic,False
T0000135,2024-06-06,C05688,A016907,B056,Credit,ATM,4007.02,Success,Domestic,False
T0000136,2025-11-12,C09997,A013949,B014,Credit,Online Banking,5463.41,Success,Domestic,False
T0000137,2023-07-25,C00026,A012511,B048,Debit,NEFT,4274.77,Success,Domestic,False
T0000138,2024-02-06,C10991,A010348,B012,Debit,NEFT,10794.78,Success,Domestic,False
T0000139,2024-03-28,C09927,A021826,B048,Debit,POS,1801.9,Success,Domestic,False
T0000140,2024-12-23,C09671,A010192,B057,Credit,POS,4801.48,Success,Domestic,False
T0000141,2024-01-25,C01661,A001510,B042,Debit,POS,1220.23,Success,Domestic,False
T0000142,2023-07-08,C12883,A016064,B004,Credit,UPI,1734.16,Success,Domestic,False
T0000143,2023-09-17,C04687,A004171,B056,Credit,ATM,5774.39,Success,Domestic,False
T0000144,2024-04-07,C03422,A011547,B006,Debit,POS,1953.99,Success,Domestic,False
T0000145,2023-10-26,C09977,A009324,B005,Credit,UPI,1431.72,Success,Domestic,False
T0000146,2025-06-05,C10086,A006355,B042,Credit,POS,4838.98,Success,Domestic,False
T0000147,2024-04-25,C12795,A016785,B039,Credit,IMPS,1916.56,Success,Domestic,False
T0000148,2025-12-08,C08168,A009440,B007,Debit,IMPS,9077.29,Success,Domestic,False
T0000149,2024-09-01,C01045,A016765,B003,Debit,IMPS,2885.12,Success,Domestic,False
T0000150,2024-06-23,C00382,A006451,B052,Debit,ATM,26172.58,Success,Domestic,False
T0000151,2024-08-26,C05010,A020962,B044,Credit,ATM,2933.93,Success,Domestic,False
T0000152,2024-03-09,C02525,A009894,B003,Debit,POS,3001.39,Success,Domestic,False
T0000153,2023-03-10,C00999,A016353,B040,Credit,IMPS,3875.41,Success,Domestic,False
T0000154,2025-11-29,C10640,A016285,B021,Debit,NEFT,1145.8,Success,Domestic,False
T0000155,2025-11-08,C03255,A003317,B044,Debit,ATM,4985.76,Success,Domestic,False
T0000156,2024-04-04,C11401,A020503,B023,Credit,POS,5108.53,Success,Domestic,False
T0000157,2024-01-17,C13028,A016120,B019,Debit,UPI,562.71,Success,Domestic,False
T0000158,2025-11-02,C06921,A014504,B054,Debit,Online Banking,5890.26,Success,Domestic,False
T0000159,2023-02-20,C11223,A013816,B023,Debit,POS,8631.77,Success,International,False
T0000160,2025-04-25,C04476,A000230,B022,Debit,POS,1037.86,Success,Domestic,False
T0000161,2023-05-09,C04279,A017894,B041,Debit,ATM,8983.72,Success,Domestic,False
T0000162,2023-12-22,C11388,A017266,B019,Debit,IMPS,2693.14,Success,Domestic,False
T0000163,2025-04-30,C08657,A021878,B055,Debit,ATM,1297.45,Success,Domestic,False
T0000164,2025-05-24,C10371,A002856,B002,Debit,UPI,12391.79,Success,Domestic,False
T0000165,2023-06-06,C00990,A016624,B054,Debit,POS,2668.26,Success,Domestic,False
T0000166,2024-07-02,C06799,A005137,B044,Credit,Online Banking,2451.51,Success,Domestic,False
T0000167,2024-11-19,C02141,A011263,B014,Debit,UPI,937.02,Success,Domestic,False
T0000168,2024-02-16,C10601,A019649,B055,Credit,Online Banking,4277.16,Success,Domestic,False
T0000169,2025-12-03,C02130,A006746,B005,Credit,POS,1211.3,Success,Domestic,False
T0000170,2023-08-04,C10170,A005695,B053,Credit,IMPS,4434.58,Failed,Domestic,False
T0000171,2023-08-19,C02337,A004635,B010,Debit,UPI,1831.93,Success,Domestic,False
T0000172,2025-03-18,C07401,A003876,B040,Credit,IMPS,1882.3,Success,Domestic,False
T0000173,2023-07-03,C06912,A003916,B002,Debit,NEFT,1871.08,Success,Domestic,False
T0000174,2024-12-25,C06672,A013682,B042,Debit,UPI,2153.79,Success,Domestic,False
T0000175,2024-03-10,C08419,A006844,B048,Credit,POS,2092.23,Success,Domestic,False
T0000176,2025-10-06,C03544,A018111,B021,Debit,ATM,840.38,Success,Domestic,False
T0000177,2024-12-19,C00456,A015991,B009,Credit,IMPS,320.86,Success,Domestic,False
T0000178,2024-08-19,C08484,A001887,B015,Debit,NEFT,428.96,Success,Domestic,False
T0000179,2024-04-04,C01505,A015107,B057,Credit,NEFT,2857.22,Success,Domestic,False
T0000180,2025-10-20,C08524,A009225,B031,Debit,Online Banking,3436.29,Success,Domestic,False
T0000181,2023-03-29,C14282,A015095,B057,Debit,UPI,503.16,Success,Domestic,False
T0000182,2025-03-04,C12576,A020540,B011,Credit,NEFT,1754.03,Success,Domestic,False
T0000183,2024-04-25,C11692,A006852,B031,Credit,ATM,1595.02,Success,Domestic,False
T0000184,2023-05-27,C11340,A018762,B048,Credit,UPI,2144.46,Success,Domestic,False
T0000185,2024-10-19,C01540,A001722,B045,Credit,IMPS,6286.99,Success,Domestic,False
T0000186,2024-10-03,C10690,A006565,B037,Debit,NEFT,2197.27,Success,Domestic,False
T0000187,2025-10-25,C04164,A004101,B005,Debit,UPI,2086.44,Success,Domestic,False
T0000188,2024-06-16,C13832,A009918,B009,Debit,POS,4098.62,Success,Domestic,False
T0000189,2024-09-19,C05895,A008860,B004,Debit,UPI,10555.37,Success,Domestic,False
T0000190,2024-01-12,C02649,A010473,B030,Debit,POS,3223.89,Success,Domestic,False
T0000191,2023-08-23,C06839,A021885,B031,Credit,IMPS,20482.84,Success,Domestic,False
T0000192,2023-09-27,C10938,A002509,B016,Debit,ATM,816.62,Success,Domestic,False
T0000193,2023-09-14,C04374,A018095,B026,Debit,ATM,2320.68,Success,Domestic,False
T0000194,2024-11-10,C13183,A021879,B055,Credit,POS,18428.46,Success,Domestic,False
T0000195,2023-05-08,C07858,A012980,B007,Credit,POS,9536.53,Failed,Domestic,False
T0000196,2025-03-25,C06213,A006804,B022,Credit,RTGS,11806.31,Success,Domestic,False
T0000197,2025-11-06,C13315,A014834,B012,Debit,NEFT,2812.43,Success,Domestic,False
T0000198,2023-06-30,C11878,A016676,B046,Debit,Online Banking,9617.05,Success,Domestic,False
T0000199,2024-06-30,C06218,A007602,B041,Debit,UPI,3804.54,Success,Domestic,False
T0000200,2025-09-20,C02400,A019157,B006,Debit,UPI,12038.7,Success,Domestic,False
T0000201,2023-11-15,C05370,A016984,B002,Debit,NEFT,1819.41,Success,Domestic,False
T0000202,2025-05-05,C07484,A019582,B031,Credit,POS,1067.58,Success,Domestic,False
T0000203,2024-09-23,C12481,A000868,B031,Credit,NEFT,6872.15,Success,Domestic,False
T0000204,2024-09-20,C03490,A019511,B004,Debit,NEFT,10758.02,Success,Domestic,False
T0000205,2024-04-26,C12008,A021730,B007,Debit,UPI,1457.86,Success,Domestic,False
T0000206,2024-05-19,C05705,A001115,B034,Credit,IMPS,5116.46,Success,Domestic,False
T0000207,2025-05-06,C13667,A010099,B007,Debit,Online Banking,12502.83,Success,Domestic,False
T0000208,2025-02-12,C05298,A012971,B020,Debit,UPI,860.55,Success,Domestic,False
T0000209,2024-07-09,C14293,A018275,B051,Credit,UPI,1219.5,Success,Domestic,False
T0000210,2024-04-25,C01703,A021299,B033,Debit,Online Banking,9610.66,Success,Domestic,False
T0000211,2024-07-12,C12000,A000031,B036,Credit,IMPS,23975.38,Success,Domestic,False
T0000212,2023-04-03,C09198,A002127,B008,Credit,UPI,1519.08,Success,Domestic,False
T0000213,2024-07-13,C05384,A003696,B012,Credit,UPI,1039.54,Success,Domestic,False
T0000214,2025-05-08,C11898,A001889,B005,Credit,POS,3473.9,Success,Domestic,False
T0000215,2024-08-18,C13820,A021184,B025,Debit,UPI,6661.32,Success,Domestic,False
T0000216,2025-06-02,C08710,A011704,B014,Debit,ATM,1031.76,Success,International,False
T0000217,2023-11-29,C08559,A007299,B030,Debit,IMPS,1116.41,Success,Domestic,False
T0000218,2024-02-15,C07504,A005974,B022,Debit,UPI,8773.75,Reversed,Domestic,False
T0000219,2023-09-15,C09107,A018139,B051,Credit,RTGS,234.09,Failed,Domestic,False
T0000220,2023-02-10,C14665,A015428,B025,Debit,Online Banking,5529.82,Success,International,False
T0000221,2024-08-10,C02350,A007933,B015,Credit,UPI,3918.82,Success,Domestic,False
T0000222,2024-10-30,C06552,A020945,B005,Debit,NEFT,5211.1,Success,Domestic,False
T0000223,2024-04-28,C06165,A011491,B040,Debit,IMPS,3027.99,Success,Domestic,False
T0000224,2024-07-20,C03719,A020269,B032,Credit,ATM,1873.45,Success,Domestic,False
T0000225,2024-12-25,C09954,A007775,B014,Debit,IMPS,836.44,Success,Domestic,False
T0000226,2025-12-02,C11043,A015126,B019,Credit,NEFT,1860.08,Success,Domestic,False
T0000227,2023-12-17,C11750,A020131,B050,Credit,NEFT,7540.8,Success,International,False
T0000228,2025-10-24,C00045,A004656,B033,Debit,UPI,520.25,Success,Domestic,False
T0000229,2024-12-17,C10005,A006143,B015,Debit,POS,6758.71,Success,Domestic,False
T0000230,2025-09-02,C02898,A020724,B016,Debit,UPI,15440.24,Success,Domestic,False
T0000231,2025-12-26,C11571,A010179,B054,Debit,POS,9708.45,Failed,Domestic,False
T0000232,2024-08-13,C00972,A017494,B002,Debit,ATM,884.66,Success,Domestic,False
T0000233,2023-01-20,C12304,A001565,B058,Credit,UPI,906.68,Success,Domestic,False
T0000234,2025-02-03,C09888,A015490,B032,Credit,POS,13970.57,Success,Domestic,False
T0000235,2023-11-05,C14594,A010676,B021,Debit,UPI,2284.06,Success,Domestic,False
T0000236,2023-12-26,C07473,A021384,B053,Credit,UPI,2237.82,Success,Domestic,False
T0000237,2023-01-17,C13831,A019182,B019,Credit,IMPS,1809.85,Success,Domestic,False
T0000238,2025-05-07,C06463,A007304,B028,Credit,UPI,4227.84,Success,Domestic,False
T0000239,2024-10-05,C02521,A010482,B042,Debit,UPI,380.94,Success,Domestic,False
T0000240,2025-05-06,C08264,A013973,B037,Credit,UPI,3030.69,Failed,Domestic,False
T0000241,2024-04-27,C08427,A020225,B010,Credit,NEFT,5840.92,Success,Domestic,False
T0000242,2025-09-09,C00502,A017829,B004,Credit,UPI,6124.79,Success,Domestic,False
T0000243,2023-03-29,C14925,A010832,B032,Debit,ATM,5623.1,Success,Domestic,False
T0000244,2024-08-03,C01311,A017910,B048,Debit,IMPS,10743.15,Success,Domestic,False
T0000245,2024-09-13,C10766,A012838,B017,Credit,ATM,3103.96,Success,Domestic,False
T0000246,2023-06-08,C07858,A013305,B055,Credit,NEFT,7744.94,Success,Domestic,False
T0000247,2023-08-18,C00422,A008879,B010,Credit,POS,5097.03,Success,Domestic,False
T0000248,2024-07-05,C12107,A009341,B035,Debit,NEFT,3726.55,Success,Domestic,False
T0000249,2024-03-26,C10910,A009926,B022,Debit,Online Banking,2777.46,Success,Domestic,False
T0000250,2024-09-17,C13674,A021025,B045,Debit,UPI,9655.94,Success,Domestic,False
T0000251,2024-05-12,C13623,A007645,B005,Debit,UPI,9261.84,Success,Domestic,False
T0000252,2024-08-05,C10864,A004086,B027,Debit,Online Banking,447.07,Success,Domestic,False
T0000253,2025-06-13,C05471,A004175,B052,Debit,UPI,2197.68,Success,Domestic,False
T0000254,2023-04-27,C06207,A002154,B037,Credit,UPI,2317.3,Failed,Domestic,False
T0000255,2024-06-17,C11298,A020882,B029,Credit,POS,10673.14,Success,Domestic,False
T0000256,2025-02-12,C09499,A015335,B001,Debit,IMPS,21694.22,Success,Domestic,False
T0000257,2025-11-11,C01527,A005364,B006,Debit,UPI,2515.01,Success,Domestic,False
T0000258,2023-10-23,C10259,A013446,B027,Debit,POS,973.37,Success,Domestic,False
T0000259,2025-07-03,C06840,A008820,B006,Credit,ATM,8059.05,Success,Domestic,False
T0000260,2025-02-04,C08977,A014035,B059,Debit,UPI,3263.58,Success,Domestic,False
T0000261,2023-10-06,C10814,A020904,B007,Credit,POS,2626.62,Success,Domestic,False
T0000262,2023-12-30,C09233,A008083,B050,Credit,Online Banking,8302.1,Success,Domestic,False
T0000263,2025-10-25,C00499,A018192,B008,Debit,ATM,4026.95,Success,Domestic,False
T0000264,2024-04-11,C02465,A010255,B023,Debit,UPI,6568.43,Success,Domestic,False
T0000265,2025-01-06,C13746,A003369,B013,Credit,POS,1199.16,Success,International,False
T0000266,2024-10-18,C11509,A013378,B037,Credit,POS,36771.74,Success,Domestic,False
T0000267,2024-03-18,C09813,A013585,B044,Debit,IMPS,380.65,Success,Domestic,False
T0000268,2023-07-28,C11916,A008776,B042,Debit,POS,3199.84,Failed,Domestic,False
T0000269,2025-01-24,C00373,A002425,B048,Debit,UPI,700.36,Success,Domestic,False
T0000270,2023-01-19,C00931,A004306,B031,Debit,ATM,5330.04,Success,Domestic,False
T0000271,2024-09-13,C03172,A019529,B011,Debit,POS,249.2,Success,Domestic,False
T0000272,2024-10-19,C04794,A007993,B022,Credit,IMPS,3879.69,Success,Domestic,False
T0000273,2025-04-26,C08960,A016327,B035,Credit,NEFT,3532.99,Success,Domestic,False
T0000274,2024-03-03,C11284,A019350,B021,Credit,NEFT,1648.59,Success,Domestic,False
T0000275,2024-09-16,C04202,A008407,B049,Debit,IMPS,3356.91,Success,Domestic,False
T0000276,2025-03-24,C12628,A014067,B018,Credit,ATM,2816.92,Success,Domestic,False
T0000277,2023-01-18,C02210,A006991,B019,Credit,UPI,1706.28,Success,Domestic,False
T0000278,2024-12-08,C04916,A020821,B059,Debit,UPI,4755.72,Success,Domestic,False
T0000279,2025-12-16,C01676,A017018,B047,Debit,IMPS,743.53,Success,Domestic,False
T0000280,2023-09-10,C00666,A009604,B059,Credit,UPI,2825.52,Success,Domestic,False
T0000281,2025-06-14,C09640,A015519,B016,Credit,POS,2343.06,Success,Domestic,False
T0000282,2023-03-13,C09402,A006592,B025,Debit,POS,1968.36,Success,Domestic,False
T0000283,2023-12-28,C08261,A015113,B011,Credit,IMPS,3008.38,Success,Domestic,False
T0000284,2024-02-16,C12376,A011191,B021,Credit,ATM,6805.03,Success,Domestic,False
T0000285,2025-07-06,C02211,A011486,B032,Debit,NEFT,2332.36,Success,Domestic,False
T0000286,2024-12-01,C02512,A016028,B058,Debit,POS,3561.17,Success,Domestic,False
T0000287,2025-11-27,C07605,A006020,B007,Credit,POS,2979.29,Success,Domestic,False
T0000288,2024-04-10,C14966,A015959,B030,Credit,UPI,4563.89,Success,Domestic,False
T0000289,2025-10-21,C03487,A005873,B039,Debit,NEFT,9701.15,Success,Domestic,False
T0000290,2023-11-09,C14496,A013277,B053,Debit,NEFT,15124.81,Success,Domestic,False
